1,Israel ,Adesanya ,Izzy,53844212,sebasasus123@gmail.com,Mi casa,13/03/2006
1,Julio,HErnandez ,14,12345678,sebasasus123@gmail.com,12 ave. 15-27 z10,2006-03-13
2,Juan,Vasquez ,Juanes,54733011,Juan.vaz@gmail.com,Zona 2 de Guatemala, San angel ,2005-02-22
2,Juan ,Eduardo ,JUanes,12345678,j,vazques@gmail.com,z2 de san angel ,2023-03-13
2,Luis ,Figo,Luisito,12345679,sebasasus123@gmail.com,Lisboa ,2023-02-12
3,js,hh,yy,12345678,rtyuuiii,,2024-02-12
4,Israel,Adesanya,TheLastStylebender,12345678,israel.adesanya@gmail.com,Nueva Zelanda,1989-07-22
5,Amanda,Nunes,Lioness,23456789,amanda.nunes@gmail.com,Brasil,1988-05-30
6,Jon,Jones,Bones,34567890,jon.jones@gmail.com,Estados Unidos,1987-07-19
7,Kamaru,Usman,Nigerian,45678901,kamaru.usman@gmail.com,Nigeria / Estados Unidos,1987-05-11
8,Leo,Messi,GOAT,56934415,leo.messi@gmail.com,Miami,1987-06-24
9,Cristiano ,Ronaldo,BICHO,54733022,cris.ronaldo@gmail.com,Arabia ,1985-02-03
10,Charles,Oliveira,DoBronx,67890123,charles.oliveira@gmail.com,Brasil,1989-10-17
